id;nome;simbolo
5bb44983-c521-4eab-a3e1-77b1867e0c79;ouch drain;until
c8cbf318-6a76-4d25-9990-2bd5fed7542f;instead;bin help provided
862f0811-3d29-4e04-a779-8d1910af37b6;crossly shiny atop;massage
b1813a11-80b4-4c79-865b-84d80ac3aa86;although unless arrogantly;publicity
dd45a609-cddb-452f-b865-ed05ca4c4be6;or;ugh yeast
e6567d5e-f00c-4964-861e-39215732950a;boohoo firsthand beret;preclude
1af15d51-effe-4a60-83a4-db3469187bd7;savour bouncy;diligent brr great
fffce9e2-d280-4173-a67a-bab3604ef0d3;vacation;typeface
35b45630-ffd3-427a-b7b2-6d891ca74383;aha;nor aside
33e5d954-a18f-4f45-bfe5-b19d1b05fee5;ack;incomplete beautifully against
