id;nome;descrizione;attivo;template_style;colore_primario;colore_secondario;font_menu;ristoratore_id
7cd26b27-5477-4491-b957-b3ca0a88a651;yawn heighten;forenenst tremendously leading;false;meanwhile;scheme;to;unless pillory fooey;1
c7ab3d80-c0f0-44a3-ad9c-1bb0aeac0556;regarding;truly homely;false;fraternise;inasmuch;whenever;testimonial truly hopeful;2
6d207391-834a-4234-b4a0-c6158240f3c9;fathom ah;ack whose;false;ouch orange;always;vivacious up nor;um riser;1
ff028e95-b0d5-435d-a2d1-877dac5ef199;dreary juvenile thoroughly;above criminal;true;pace stitcher quarrelsomely;when another;ferociously glorious fast;sparse shoulder during;2
dbe79fcf-ede3-41db-aed4-1a5420bf812c;now;juvenile;true;ugh;physically furthermore whereas;ouch finally;certainly reproachfully famously;2
199c0bdc-56ce-4ddf-8d52-b0a9daa2a61a;bin birdcage kick;before fumigate;false;cemetery contrail;apprehensive ha;yum;kissingly shy which;1
8eb99efb-927e-4f1d-90a0-cccd752a8c2d;absent abaft;rust who;false;an outdo pants;yahoo jaywalk;greedy horst till;gee;2
43a7c9d3-d7ed-4722-87c8-f7c7a1673841;plus;finding blindly certainly;true;affectionate yowza;bitter unfit;calmly wherever underneath;massage astride;2
1b894c37-0c74-470f-a625-587e986f8d5f;phooey quizzically;ha emotional;true;deduce;phooey circular hungrily;polyester;oddly detective;1
82def985-3aca-41cb-89d9-2e7611cb9777;across willfully;monocle;true;without meh shimmering;proper phooey;asset for wherever;doting stir-fry before;1
