id;data;attivo;nome;descrizione;prezzo
2e19891b-beac-4f8a-a419-7a074709ccdc;2026-02-17;false;whose;tempting;8269.13
16de1be1-12d2-48f2-acaa-ef8f4a8d98b5;2026-02-16;false;porter yippee scoff;yowza;74.23
1b938d07-0b99-49b7-8498-b5ba54c06ad8;2026-02-16;true;owlishly story;waver whether;7239.03
64c7430b-e334-4f4c-a00d-70d2b8d21cde;2026-02-17;true;fuel gigantic for;when;25439.46
39fefa00-2760-4a65-92f1-51902b76b542;2026-02-17;true;yuck except uh-huh;lady;19609.82
faad0310-ce55-4c26-8e89-e6273fa0718f;2026-02-17;true;only now;colossal clueless meatloaf;19770.31
8b550468-11d9-494d-8e26-89b2b837b0d1;2026-02-16;false;grim hello;down;28725.63
7af70ac9-d660-4f63-9185-621b28c6de98;2026-02-17;false;than;at;27529.61
092dd45f-40fe-4917-9522-da36f8113a68;2026-02-16;false;by;brush positively what;21775.76
43174137-139e-496c-9f8c-77e7f2a2d779;2026-02-16;false;giant ouch simple;meh;22719.13
