id;tipo;nome_default;nome_personalizzato;menu_id
0600502a-523c-4189-b5ce-0b730a7bc4e2;DEFAULT;VINO_BIANCO;horse;7cd26b27-5477-4491-b957-b3ca0a88a651
16671e66-a9c5-4c39-94ba-ab861bfa6cf1;DEFAULT;VINO_ROSSO;nor shameless to;c7ab3d80-c0f0-44a3-ad9c-1bb0aeac0556
37fad0c3-4c0b-4916-b06a-724231b313e3;PERSONALIZZATA;VINO_BIANCO;whoa;6d207391-834a-4234-b4a0-c6158240f3c9
1332b63c-021d-48d4-b8cd-4ddd31f4c5c3;DEFAULT;VINO_ROSATO;though pfft whenever;ff028e95-b0d5-435d-a2d1-877dac5ef199
8c10f8fe-fb9c-463f-a926-7690988235c1;DEFAULT;VINO_ROSATO;questionably amidst excitedly;dbe79fcf-ede3-41db-aed4-1a5420bf812c
b184a392-1c91-498c-a294-9314b1317982;PERSONALIZZATA;CONTORNO;reopen beside;199c0bdc-56ce-4ddf-8d52-b0a9daa2a61a
1811ff6c-f7c8-416b-8207-e69412e3da3c;PERSONALIZZATA;ANTIPASTO;hunt hourly;8eb99efb-927e-4f1d-90a0-cccd752a8c2d
4b3631d8-3599-4a96-9c45-6eb789131659;DEFAULT;BIRRA;sequester lest;43a7c9d3-d7ed-4722-87c8-f7c7a1673841
f2e51ac2-cfa7-42b5-be2b-05b5f9a2b824;DEFAULT;VINO_BIANCO;as as if;1b894c37-0c74-470f-a625-587e986f8d5f
ffb139ab-ace9-4a29-bdf9-6506e7688755;DEFAULT;BEVANDA;house unless if;82def985-3aca-41cb-89d9-2e7611cb9777
