id;nome;descrizione;prezzo;portata_id
7f851278-66db-43fb-842d-c4b15fadfd1f;adjourn yieldingly;gad since grim;5017.22;0600502a-523c-4189-b5ce-0b730a7bc4e2
51ef30cd-af88-4569-906e-832fa059e07d;dearly;fooey inasmuch;16469.32;16671e66-a9c5-4c39-94ba-ab861bfa6cf1
5f519089-1ffc-446b-8ba3-15d7f27a643a;whenever meaningfully;strong apropos jump;7041.2;37fad0c3-4c0b-4916-b06a-724231b313e3
be26627d-537c-4457-94e2-c3276d2de552;once vice;anenst for sunny;7404.44;1332b63c-021d-48d4-b8cd-4ddd31f4c5c3
8c5b6fa2-25fd-45ab-b226-e655124dc75e;hence putrid strong;consequently patiently obediently;12238;8c10f8fe-fb9c-463f-a926-7690988235c1
0a539f17-ef35-4c47-9661-291b09ada929;awkwardly;unethically;15724.01;b184a392-1c91-498c-a294-9314b1317982
f3e868c2-ae3d-4a82-bb6f-a7b30cd6b1b7;to precious;till manage;25047.68;1811ff6c-f7c8-416b-8207-e69412e3da3c
a0c819d8-deef-4baf-8fa0-bbe7320227f0;soybean stake weird;amid frankly plugin;8861.44;4b3631d8-3599-4a96-9c45-6eb789131659
e08d97e8-70f0-4880-87f7-cd61b1392d5d;gracefully excitedly;transplant scratchy;23845.99;f2e51ac2-cfa7-42b5-be2b-05b5f9a2b824
eb4e325d-0358-4ade-a13c-67bdc04608a8;sweet inasmuch gulp;firsthand;4074.23;ffb139ab-ace9-4a29-bdf9-6506e7688755
